Country,Year,Month,Day,Temperature (Celsius),Precipitation (mm),Wind Speed (km/h)
Germany,2004,4,18,24.90434503491742,36.65545912957142,25.24484690685476
France,2015,1,12,18.083496033544897,13.742054870975762,22.63455904702686
Germany,2021,1,26,7.101063025735137,46.12973380196276,12.398591830372068
Spain,2020,7,2,6.432669167169234,27.722158559934794,14.603440007356753
Germany,2017,10,10,-0.9983869511763857,40.448081881968044,14.981500722609576
Spain,2020,7,24,29.11039198744531,46.869832851224736,17.399905536947053
Spain,2009,11,25,-9.20970252912527,72.22215437957132,33.49376587874559
Italy,2011,10,6,-1.0403139570021338,82.6266824176123,15.882674796861378
Italy,2001,7,5,29.3802720135441,18.95951523633532,23.18627022627449
Italy,2017,2,24,20.576925488169273,98.13756931174741,7.235540231436325
United Kingdom,2011,9,17,-6.974118479997271,3.828377316444065,9.125615999946586
Spain,2010,12,25,9.157762927803105,91.48779097658947,7.364702217399763
Spain,2014,1,24,0.15661759516531149,60.1842902547917,37.879315953111224
Italy,2006,6,30,0.594002867091902,8.643617511233249,21.242000180085398
Germany,2017,7,8,10.859106792677615,9.085496691139161,23.52145580470208
Italy,2013,1,9,11.06059777887365,9.888966030838453,28.576412960151455
Italy,2000,11,23,16.178659711218224,52.507586813785544,35.12187207837194
Spain,2003,9,5,11.644696547992474,78.28704494129617,8.919856693834433
United Kingdom,2015,12,2,19.383651386627218,96.00102589428374,36.27828967459885
Italy,2002,11,21,21.750070820908768,35.29215436197261,39.79136481556385
United Kingdom,2003,11,29,20.48512600684247,55.540478839884855,6.0133604436972865
Spain,2000,5,27,0.980178346089966,9.402239747450203,36.441812671694116
Spain,2019,4,6,24.307828022672375,92.43450867910042,22.131323940717714
France,2024,10,17,22.775823546398215,64.51708893953189,21.79402288855055
France,2002,5,6,26.90324156726097,66.26142083554456,35.056507509994205
United Kingdom,2012,6,10,18.449762122575862,63.3409918579724,6.428029779268189
France,2017,6,3,26.954001503486175,65.75560799175528,35.424792499808646
Italy,2009,2,28,17.943785491562785,33.99413725978885,19.366260456965477
Italy,2008,10,12,11.830307554616063,94.57971577574598,39.92129717491207
Germany,2007,11,23,0.1556936505691109,40.100020286102435,36.89852887950484
United Kingdom,2015,4,15,24.54461555894816,45.6039784159069,19.290612996357908
Spain,2004,6,5,-9.444207702678993,51.185205102064735,22.652316472285186
France,2000,5,5,0.5819757691679293,82.66747400853289,37.781532308005616
Germany,2012,9,24,9.318723862165172,40.354001770991445,8.10177207743114
France,2022,1,8,16.802626342561744,37.10003333816589,32.66922813538084
United Kingdom,2016,9,14,8.910141552039082,87.56773951252212,10.231035597062984
France,2007,1,18,5.973643035641869,50.34644656439035,16.273605764151117
France,2011,9,3,2.4259229191728373,6.624786357610657,34.67493861958245
Spain,2023,7,19,25.399889910032428,14.44501424396808,21.864020609528506
France,2019,11,26,-1.235544549023274,9.048198677372898,20.1911581333586
Spain,2014,10,20,6.150810085595065,57.715523896671506,35.26603043669796
United Kingdom,2022,11,28,1.768325694206844,93.21944606775594,23.628963403068237
Italy,2023,5,5,4.707772061297145,38.21214298174698,29.439939274218688
United Kingdom,2021,11,2,19.214435752433218,52.31411833130844,20.47861462147489
Germany,2020,12,11,5.872038875344284,57.522568451271624,37.71537554288041
France,2002,1,7,-9.34798711217148,89.79990353662772,39.637419921468215
Spain,2020,2,21,6.051873190096153,49.47967355723715,19.68336094278282
Spain,2017,3,2,0.7022252124167281,89.31640630501904,12.013669136989243
France,2008,1,1,8.131811385860015,51.46307626919573,8.671690618683856
Italy,2016,8,16,0.3782768171091213,64.43761110620697,13.16109677366689
France,2023,4,2,-9.166993792613752,17.792327313708924,32.68086885941759
Italy,2019,4,28,27.20402691096509,2.6539671656377495,20.015450286524
Italy,2002,7,24,28.09164190020428,87.8121490831133,6.384036982487873
Spain,2004,2,24,17.619274254064997,97.12841962292114,35.13946897959264
Spain,2005,7,18,22.960309510211523,69.69455321465846,30.997558897027346
France,2015,12,1,13.360890700263699,58.51069020452863,9.247848108674567
Germany,2020,6,11,-3.019312552431419,91.53270692755852,37.251511311110576
Germany,2007,2,5,-8.791875647227307,26.240068151785568,35.113925286512064
France,2010,6,3,-2.4650805565747858,9.664776349121261,14.166824637343643
Spain,2023,2,25,9.377297632894951,59.294972651816394,19.735751710594055
United Kingdom,2003,2,11,16.4242556435487,2.097194325366636,28.57423222809783
United Kingdom,2003,2,12,5.908315196226109,56.07614951295808,26.302536906523905
United Kingdom,2020,1,28,20.820165697229385,88.8378546485891,9.830596353255626
United Kingdom,2020,11,11,21.545630777794326,94.75634679712589,8.135493837517268
France,2001,11,27,-5.8301037415492285,23.149889944475845,39.39166368494972
Italy,2001,5,16,-2.1580715684831686,52.566307826488014,22.639012225113365
Germany,2016,6,27,22.914364007072507,14.69276118191527,19.307961652434102
Spain,2011,10,13,22.46408288169051,42.52175743078808,38.16802088344317
Germany,2008,7,5,20.389482624028776,37.63798919124014,22.985084309902042
Spain,2007,3,3,18.23729736030267,92.62326098713329,17.03613794044689
France,2007,10,5,27.600999051546957,19.984465074776402,39.405837097133286
Italy,2001,10,5,-8.298994748473337,47.96253420812631,6.467734386431124
Spain,2012,4,9,20.473365814605117,57.60496027475206,17.291323146644828
France,2021,5,6,1.514658978347093,88.53032563496383,15.456165712469586
Germany,2007,9,1,-8.229066188018738,47.542458015282264,26.55337771900995
Spain,2001,1,11,28.737084442192433,75.7089995286142,16.31097282020606
Italy,2002,6,13,24.36109626764592,12.579553998550763,33.96309716936615
Germany,2007,10,13,5.011655847274842,59.33048429490214,38.88301642894511
France,2009,2,15,28.995100019671966,20.50071455926943,27.250805810823024
Italy,2007,10,5,4.009518175457792,58.68245700670206,12.608907288532016
Spain,2006,6,28,29.48616252530106,11.622536602129841,21.83769348444045
United Kingdom,2001,2,28,1.4945786436504171,18.96275435349026,27.797741750699863
France,2023,11,16,28.239319229633686,22.07163947448563,32.11128817010571
Germany,2011,2,8,29.165695671367374,97.62278876161629,27.745142675398384
Italy,2014,4,4,-5.1947680501586735,44.60776230094733,8.589182978095526
Italy,2020,11,4,2.3136272033487693,34.249318478292615,28.63031720454923
United Kingdom,2007,12,21,-6.993918445954415,24.730939441652822,17.082248842166543
Germany,2019,1,10,24.390351230460553,5.156647548629634,25.829491503536694
Italy,2017,5,21,-4.642778867921997,81.82053375288129,14.435497288013725
United Kingdom,2017,8,1,-8.197739074916331,87.44842825162593,7.77382241446646
Germany,2024,2,7,22.060180013160874,99.96612106613343,23.20707710891564
France,2017,4,2,11.426371761691463,8.600315244468682,27.714689820004896
Italy,2017,2,28,9.60808065028234,95.56970294855269,19.909005220727074
United Kingdom,2003,1,7,3.606911771309367,23.745775844091167,31.367877119989515
France,2014,11,22,19.899889589741726,60.07526215606988,32.72055045862879
France,2017,10,27,29.294674564431517,28.066728608210845,20.569132222857757
Spain,2008,2,18,-2.7128072371232914,38.85004948698646,37.71647036270093
France,2024,4,8,-1.8542072901811757,23.68221690060224,23.915845288114284
Germany,2004,9,18,28.346217759636566,26.086628532489232,39.542707449412745
Italy,2016,1,4,14.205427930427316,10.729853532857858,37.9633161890637
Italy,2024,10,27,13.219849416223262,47.01482913028491,30.611681564476058
Germany,2018,1,25,23.24028399683226,73.6924785738066,17.0232341680315
United Kingdom,2011,1,6,-3.0063103405578273,23.41233107402838,15.078572558963529
United Kingdom,2007,5,18,0.15340686347506605,26.16034442920675,36.63298304619886
Italy,2023,10,19,28.297255200788435,60.4834579844577,21.677606938481752
United Kingdom,2009,8,23,0.11922618883660618,59.25183854312493,21.97955336609418
Germany,2006,8,6,9.124588582002136,94.93088632722692,38.687591048892415
Italy,2010,8,5,-0.9694664166349973,69.6410304255863,25.53306361192361
France,2023,6,7,-9.741774019737273,71.51973669470206,17.696954159886904
United Kingdom,2011,5,4,-9.39144781778024,27.51833106700685,38.974197590106776
United Kingdom,2015,10,19,-0.01564849213574604,16.17409474538053,15.411071768712706
United Kingdom,2020,5,4,-6.9012884847008005,68.17293115138794,38.8385626309299
Spain,2008,5,21,5.95765624944946,22.390052754917356,18.61467001427416
Spain,2016,4,4,13.937988021046742,56.12612334582329,25.299284592961882
Italy,2009,10,17,3.6910489083002407,54.24794088476208,34.48256024798933
Spain,2024,3,4,16.762969920960753,95.82370892354326,36.85449055602193
France,2009,2,9,-9.604195016710403,5.631492684652029,7.792109862069557
France,2004,12,5,-2.351128314633679,19.47994263133931,28.74561025065692
Italy,2021,8,30,19.092179154114692,6.781420006117478,10.961693422351377
France,2000,6,21,6.189322936621071,7.190852524514635,25.844556726691977
Spain,2009,4,3,18.038310740636394,82.15436020512279,31.951720429030587
United Kingdom,2004,8,22,-0.8073589281605642,85.40389540949782,16.402026090058733
Italy,2010,6,8,-0.04916920408141401,25.540298690242725,7.852873698517588
France,2003,3,20,17.10327943144311,98.09433847361552,14.168434036692235
Spain,2006,7,6,5.887947314737886,14.61696307745357,18.285539991806004
Spain,2013,2,18,-4.8708931492690555,17.339077528673354,11.71747301895551
United Kingdom,2010,6,16,-0.3007441799301489,35.256983990043054,29.030219279508977
Spain,2005,8,7,3.855834016641495,42.903914730258684,11.933924851615217
Germany,2023,3,12,-2.284857878441371,45.214933568784154,30.73731508102627
France,2003,4,24,6.989382244071827,19.005709766617297,9.02627165121525
Spain,2011,7,15,26.799206994041164,86.64061473740855,9.77188657296094
United Kingdom,2009,8,20,18.805594028303602,54.46191169511548,16.953160810126093
United Kingdom,2009,4,19,11.963719613127594,57.45983650323472,11.54991100036754
United Kingdom,2002,7,12,16.580189764342176,84.96985790883234,35.1039400711813
United Kingdom,2005,1,30,-7.407311756710011,46.0738440463482,11.96733178334528
Germany,2002,2,6,13.757743468878125,39.95443155335954,34.28363442108236
United Kingdom,2006,6,8,15.318193845063597,95.44716703627628,11.80082747361527
Italy,2001,9,3,13.259048495608937,34.90634792740054,30.976414753649077
Italy,2022,4,20,21.945373184198807,9.202778674866952,19.60252972812518
Spain,2016,2,24,18.894902370412243,19.50680757385468,25.252342187625608
Germany,2016,1,8,-4.289065148006679,78.41627829688274,16.288767956677475
United Kingdom,2004,12,11,16.297653787806944,80.69615019627379,23.4559063085817
France,2022,7,25,-9.003786970645521,64.2704678760159,12.645627546089383
France,2020,8,25,-2.23250004956018,78.28833240029725,8.727810516876067
Spain,2004,11,13,-4.540803083384519,64.66745418191867,32.280844891117425
United Kingdom,2015,12,24,2.4024078876115986,10.856900400756086,29.103360812253072
Spain,2024,7,1,8.980183749646372,4.781502574421104,37.008121467830634
France,2012,1,9,16.814817118494997,43.808523767104056,15.110906716113734
Spain,2006,7,28,25.125052025779432,43.57692614814531,7.020382324143016
United Kingdom,2005,1,23,24.350605101849574,74.36187105008588,24.325422596406288
Germany,2012,8,7,21.925232262038023,84.73949589496272,5.100244007303881
Germany,2020,8,11,0.29513030042112476,99.44727829019567,27.781935744887083
Germany,2004,12,27,-9.14945359424892,4.077724883110645,9.493353341346362
Spain,2020,6,19,2.880791789133861,17.23222802920149,36.837388333336044
France,2002,3,17,24.038677267376286,28.317506688203743,5.693841217288135
United Kingdom,2016,6,10,21.02494056975288,37.54327517621685,31.14366212608011
Italy,2003,3,19,-4.689440921294805,20.070752504776312,27.781215923553997
Germany,2014,10,5,13.807531191951696,62.861762359108596,14.533046118305387
Germany,2004,9,24,4.327953553650946,26.112016993018873,32.503434646740686
Germany,2022,6,3,25.681176542542204,48.19621663289067,10.096086708735937
Germany,2002,6,6,1.8578247824913419,72.5976937949803,37.77222152289565
Germany,2005,2,28,19.732050276444998,67.25224442355223,24.198957180763
United Kingdom,2003,3,2,8.384334755130453,34.6210369226283,14.927538842485967
Germany,2010,9,5,2.2202751489182404,80.12506808472213,9.218497365040932
Italy,2007,11,4,-1.7385924422258814,72.76854233878319,12.762368996444026
Italy,2021,11,1,2.335424968846649,20.111442341158558,19.957069965268534
France,2010,10,10,29.339644025245306,30.670339701091397,11.89856968460612
Italy,2013,11,13,-4.064132503369815,83.39666861081268,15.770924257745255
United Kingdom,2021,1,21,18.02638217014899,22.094495696548965,28.181509109946127
Italy,2005,10,30,21.079700385080685,85.99975012935866,26.877501111258525
France,2022,3,28,-0.9224368010866968,83.0050863831032,23.833508149946287
Germany,2000,4,10,7.256776743287318,10.471541443807453,11.46531009589154
United Kingdom,2017,6,19,16.695705647226458,39.03565166627359,13.980565320668562
United Kingdom,2022,11,12,8.68210762081068,28.47013384457504,13.985935595797885
Italy,2020,12,2,24.402866349223714,59.552618261433174,36.65020794500661
Germany,2005,7,27,-0.8056570062991284,67.46317348025008,34.534372204252556
United Kingdom,2022,7,25,16.054857923828536,95.29307662663985,25.752432866752066
Germany,2023,12,2,6.950317117811039,21.98378910950629,36.98156233098426
Spain,2002,6,14,29.81671985295494,1.1465228844356745,37.778694869543905
United Kingdom,2008,1,6,9.365829912744992,85.19307588973264,17.581766713010566
Spain,2009,12,4,6.922424300447183,52.62483458757728,35.88028429882837
France,2001,1,1,9.891569102553014,20.845187102495345,5.125324606721949
Italy,2021,10,17,22.029805438091202,11.858343749374745,27.39552624027865
Italy,2019,5,9,0.09403423819919432,58.34613460292017,26.045896759998833
Italy,2002,4,9,11.440499438216314,9.203247708483108,10.708010841383238
Italy,2004,10,11,2.8503178432387877,25.45156524918721,10.034871260200944
Spain,2004,3,28,-4.415803554165181,37.616620171557756,36.34486202340216
United Kingdom,2015,1,28,-4.022037266485796,67.27560945735289,26.046325569403738
France,2011,3,14,-2.9083324877519834,41.48115798895453,14.657054610293697
Germany,2001,6,1,3.324544747090439,67.7265205400097,6.046645916535475
Germany,2004,12,9,20.13543631795524,41.1991595228323,14.353095157616709
Spain,2007,11,21,-0.1322456404616048,0.5534945906584543,16.055185564076034
Germany,2016,3,30,27.646448081406753,54.13641088657821,35.39075825136973
United Kingdom,2007,11,25,20.517488455064132,74.53426364569259,33.60336492783658
France,2020,3,6,7.544722035077697,62.80677864605203,34.26940369164288
Spain,2001,9,19,20.359178595771642,30.48769941749002,5.833630411165639
United Kingdom,2004,2,19,-3.0019709342352385,91.58886479270386,21.576858316947458
United Kingdom,2000,5,17,14.097568756850805,95.8813847905698,24.95911336197951
Spain,2000,3,19,-5.273611076974407,60.5147842093325,18.562975398417727
Germany,2006,7,18,24.218718120403096,25.8802053884547,38.31994894287465
Spain,2004,9,29,27.355714200083234,30.483147511152488,22.461215861423796
Germany,2004,4,6,19.614357357013404,1.5386305604988326,34.378625095761144
Spain,2006,5,26,21.060308042951842,18.753866427705923,22.27732312820591
Germany,2023,6,23,25.736210389443535,34.82682563950264,26.781566853106757
United Kingdom,2016,12,24,-8.277636963140917,92.65146107339277,25.80365053424081
Spain,2014,4,19,22.589462606840875,47.73627889809025,28.508700126841283
Germany,2011,7,4,25.94761553488879,97.7915798570369,37.74462282728654
Germany,2010,3,3,27.85858931453953,89.7493715856779,28.74889744552794
Germany,2013,12,9,26.857545530215546,75.44154401367862,31.246540575946284
Italy,2006,9,2,4.253331359906154,39.28761424035272,31.599629646999702
Germany,2016,12,1,-9.656294689342673,59.62643140397961,8.84109026881586
France,2015,3,9,-2.8443534075996224,89.62935400866616,28.815179087144152
Italy,2004,5,29,9.084606745994897,31.821283731473915,13.29657059029875
Germany,2005,11,30,7.498250834947854,25.314812464539717,5.092696878727028
Germany,2008,12,1,-3.886032676633171,69.22485011371555,10.261289142840269
Germany,2006,9,20,21.29457682145045,2.772093455061442,35.15469843609233
Germany,2001,4,7,-0.2714191533529142,87.23532649106993,26.48332180279852
France,2009,3,25,21.945627680106266,59.658007664989086,12.989507675912737
Spain,2007,5,2,2.8399142535473167,26.555377934912894,35.977850048968364
Spain,2021,6,14,8.123265547588204,98.73676541149304,13.271832480554894
Germany,2018,9,13,10.077376690988423,14.619763881317038,21.42839679941581
Germany,2010,5,13,-6.112668208397771,12.000190539524658,20.530462500407246
Italy,2010,5,19,-0.4451839958550643,59.81808438605688,32.28871998623277
United Kingdom,2005,6,8,13.708708156208953,85.23876353859889,18.97465239754353
United Kingdom,2018,11,13,4.874382374144526,52.76961943222904,8.941549210603789
Germany,2003,4,13,29.642222559441393,31.076975262079877,11.173881944814276
Italy,2020,5,10,17.06555077419905,19.012462766680482,35.08748419431304
France,2012,2,5,8.292712464967352,31.242512966679925,30.44677635630182
Italy,2007,4,22,-7.615533642289134,85.68428326456332,7.649098729862761
France,2004,8,3,0.40727182061358747,36.67404504173444,35.489407558658684
United Kingdom,2020,4,20,-7.864048629995137,65.77936851922611,27.527054540688518
United Kingdom,2009,4,23,2.6507839745004382,49.080552078715996,37.40807663076306
France,2012,8,30,24.216024199515076,33.56023872538767,12.162344088806957
United Kingdom,2018,10,26,28.910923807842252,32.94766826868858,38.6542531526869
France,2022,7,27,-8.479563281991002,63.74225255523079,18.672689712761535
United Kingdom,2013,11,11,-4.639437826728425,31.684840190782314,23.567996052364634
United Kingdom,2016,12,11,-5.584953874693723,9.878664656285563,25.423164222106898
Germany,2001,9,21,3.014164282310512,53.2694746196141,19.167900575715905
Germany,2022,9,3,-1.348242830359311,71.98944677604023,32.369256023138256
United Kingdom,2003,5,2,10.535285958700893,61.61610877502742,24.80477647271757
United Kingdom,2000,3,3,10.963334088671807,93.17202808319371,5.150256759647924
United Kingdom,2007,1,5,12.176407370051958,82.87222622303997,31.826465897928752
Italy,2024,10,17,15.813046128606373,35.844443619638554,30.808128127739504
United Kingdom,2014,12,30,24.369908979386217,8.756762133740548,21.96986068858464
Italy,2008,9,24,-7.332011968802523,25.131933052025946,10.185675724196221
Italy,2008,10,30,20.9926564421797,56.772358579580576,30.432887288283954
United Kingdom,2000,2,15,7.1024577380634,6.9845138721003845,28.71185004043899
Spain,2006,1,19,8.34800572311563,89.71160983724012,18.679625131314896
Spain,2001,8,8,17.360543102749645,8.838268498883428,35.50006216084742
France,2010,3,16,1.5948591390799827,41.02330390650071,6.182035978548428
United Kingdom,2013,9,25,-3.0104477743755576,61.754529655520344,34.337581360856525
France,2023,9,25,-1.09677384788505,97.77588009808379,11.508786222363476
Germany,2016,6,26,22.320692182456703,61.331571937132146,34.62784630349543
Italy,2004,10,27,-6.444830693054695,59.864903995920926,17.807978719924733
United Kingdom,2011,3,17,-6.757538108595971,21.817232373530203,16.301169827105795
Italy,2008,6,27,-8.428718556422506,36.45205409240491,34.70337070439922
United Kingdom,2003,3,19,12.2337682734446,56.96163243454281,18.034860153764814
Germany,2011,4,10,-6.890668645923124,69.0052337807482,14.16101650055175
United Kingdom,2007,7,4,18.09059556591543,53.41398639268324,22.611896700431444
Germany,2020,6,7,15.186883130899801,18.026274612593962,27.48871841658625
France,2002,1,5,5.387844471879276,14.633071196457104,21.886881449975842
United Kingdom,2014,1,8,16.04838220671098,47.151154491740265,29.342837504318116
Italy,2003,7,17,8.54600526633672,72.24422848766497,26.397610606410243
Germany,2010,2,8,23.22476560725525,39.18978047525983,29.551422997345604
France,2000,3,11,3.095784378792361,79.2412235534256,18.71540349600659
Spain,2015,4,10,9.300518328426985,94.59015365477849,18.53422350844754
France,2018,2,16,20.424465662481893,15.30434596469875,18.759660926159707
Italy,2002,9,17,-9.683873581612058,14.797416118732155,39.80170050287246
United Kingdom,2012,6,2,-6.736668930125949,23.2423378037829,31.065202860249247
France,2004,12,21,-4.800941822029854,42.394780501848615,35.9869734260595
United Kingdom,2012,12,30,11.982006182905973,69.52466985952485,18.491140363152653
France,2019,4,13,12.053511686521503,8.210731466702237,37.6063815194263
Italy,2015,6,22,28.71233864710709,56.75710139082205,36.842186121837855
Germany,2004,6,18,29.437259682368655,49.58701117653287,27.840660315354953
Germany,2013,7,17,9.965262432318184,80.44896974418579,13.765482282889762
Germany,2024,12,1,13.935236049534105,42.8451827907951,33.33220304745764
France,2011,3,25,13.90935231213738,43.43849784196332,21.163414551007595
Italy,2014,5,11,-9.725967196274334,33.809933079790476,39.9967017794898
Spain,2007,11,22,13.615225849698543,20.425883717607928,33.5757066762324
Italy,2019,1,25,14.678142472126893,4.602583617639278,20.372883850724765
United Kingdom,2006,1,23,22.612848837124638,14.355071196146596,12.939344324751334
Italy,2011,11,12,21.501843278556922,53.656518817202716,13.524904012415034
United Kingdom,2001,11,28,25.75628726953611,40.49199695685217,36.56463148858623
United Kingdom,2017,7,13,-9.339069271391867,65.78195519887684,30.464222109594456
France,2015,7,5,7.394406735079627,44.51617709202543,38.28264964869699
United Kingdom,2008,8,13,14.503915151494617,76.52356335645291,10.043488206575594
Spain,2023,7,21,12.652321191125864,28.77868122212789,18.72795094457438
Italy,2005,8,26,18.09319872353263,88.44308801283988,32.392415815947686
France,2017,10,27,3.885161442790608,36.49346075764629,33.52071991684512
Germany,2002,6,22,16.91237879874974,7.77032780632716,22.058877423227372
France,2008,7,20,19.13451796697263,82.197159809299,12.157839628977946
Germany,2003,10,17,27.21404668327903,59.09418165493769,28.10102776478827
Spain,2003,2,12,6.118529130620182,22.70551444147881,25.2803878923267
Italy,2021,6,5,18.537945334927084,20.310322008392014,27.268573523386248
United Kingdom,2023,2,13,15.258906128119222,59.05274007244695,28.431762059160945
Germany,2001,1,25,7.45632556540281,9.913064809740868,15.826039806208199
United Kingdom,2007,1,17,15.04341083529522,77.19716427534354,30.07387400534338
Germany,2020,10,7,7.463415311464679,52.49879502009893,23.86070174464605
Germany,2005,1,21,27.889238348533773,37.38976665411086,13.71228210585286
Spain,2023,5,1,-7.161702450501859,2.544327016322656,7.973090280873292
France,2008,3,14,-7.581533907561191,74.22939526074896,32.22865937491555
Italy,2024,4,5,24.44771097737012,78.86077770438712,34.934744516245345
United Kingdom,2017,6,23,3.5747104790810713,38.792811308312245,8.25274951170454
Spain,2013,4,8,26.935212135397826,52.44227234655266,6.937922100344463
Germany,2013,3,27,19.396474250395727,69.56034330301472,23.945037316125184
Spain,2018,2,3,12.749241553111965,14.32233935431465,34.23730538734418
Germany,2000,6,29,7.925448110066977,77.39256927245154,17.05084878571671
France,2024,5,7,9.717043636811397,39.870847607316875,8.392372656243817
United Kingdom,2022,4,24,25.31990351514129,2.828743462286787,22.713217679899202
Germany,2024,3,22,-0.09406732544597318,97.74693049257908,26.859805580763624
Germany,2016,4,26,3.6052079175555605,71.36638669488468,23.614298102620566
Germany,2009,5,1,11.146276793911237,12.210243931173947,18.657431984576807
United Kingdom,2012,8,14,6.345801491531535,80.42790280168359,5.384585727334551
Italy,2010,5,16,7.563765884941386,7.042792710427603,31.39729818546363
France,2017,10,3,-5.621479763045674,30.773312832217382,18.232301367486233
Spain,2019,5,6,24.839323794031046,63.36671468205951,37.89226889689822
